feature,importance
ABER-CKGL,0.0
ABER-CKP,0.05116489597268432
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,0.0
ESTADO-SDV-GL,0.000779750608773731
ESTADO-SDV-P,0.0
ESTADO-W1,0.0
ESTADO-W2,0.0
P-ANULAR,0.14566359582130858
ESTADO-XO,0.0
P-JUS-CKGL,0.2622768790933735
P-MON-CKP,0.11811826954520564
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.011055879002497644
P-TPT,0.08324775177831448
QGL,0.03442118745073303
T-JUS-CKP,0.17131751812726043
T-MON-CKP,0.0
T-PDG,0.0071834032067705075
T-TPT,0.11477086939307819
