feature,importance
ABER-CKGL_missing,0.0
ABER-CKP_missing,0.0
ESTADO-DHSV_missing,0.0
ESTADO-M1_missing,0.0
ESTADO-PXO_missing,0.0
ESTADO-M2_missing,0.0
ESTADO-SDV-GL_missing,0.0
ESTADO-SDV-P_missing,0.0
ESTADO-W1_missing,0.0
ESTADO-W2_missing,0.0
P-ANULAR_missing,0.0
ESTADO-XO_missing,0.0
P-JUS-CKGL_missing,0.0
P-MON-CKP_missing,0.0
P-JUS-CKP_missing,0.0
P-MON-CKGL_missing,0.0
P-PDG_missing,0.0
P-TPT_missing,0.0
QGL_missing,0.0
T-JUS-CKP_missing,0.0
T-MON-CKP_missing,0.0
T-PDG_missing,0.0
T-TPT_missing,0.0
ABER-CKGL,0.18293275429162698
ABER-CKP,0.36001756104742105
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,0.0
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.0
ESTADO-W1,2.6307239304803486e-05
ESTADO-W2,0.0
P-ANULAR,0.05343042284772661
ESTADO-XO,0.0
P-JUS-CKGL,0.07432685323864151
P-MON-CKP,0.08242123443234525
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.0
P-TPT,0.045575419953337165
QGL,0.016635682330339442
T-JUS-CKP,0.1421824042966725
T-MON-CKP,0.0
T-PDG,0.0
T-TPT,0.0424513603225847
