feature,importance
ABER-CKGL,0.0
ABER-CKP,0.013047065948645705
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.008987561364854568
ESTADO-M2,0.0033298519935644243
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.020293795577979314
ESTADO-W1,0.01030865267148213
ESTADO-W2,0.003463662630020578
P-ANULAR,0.074360649568
ESTADO-XO,0.0
P-JUS-CKGL,0.07541815629899037
P-MON-CKP,0.044197541602672044
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.01188957908315636
P-TPT,0.0834656187467726
QGL,0.005063061793097724
T-JUS-CKP,0.000983368857539046
T-MON-CKP,0.0
T-PDG,0.017865382320473508
T-TPT,0.6273260515427515
